CHEM 101,0,0
PL PATH 154,0,0
ENVIR ST 205,0,0
ENTOM 205,0,0
BOTANY 403,0,0
SOIL SCI 430,0,0
BIOCORE 181,0,0
ENVIR ST 100,0,0
CHEM 102,0,0
ZOOLOGY 154,0,0
PSYCH 603,0,0
ENVIR ST 413,0,0
NEURODPT 675,4.0,1.5
GEOG 523,3.772727272727273,1.9761904761904763
GEOSCI 557,3.75,2.0454545454545454
ZOOLOGY 101,2.5281324820430964,2.5268720709941173
BIOLOGY 101,2.5281324820430964,2.5268720709941173
PHYSICS 603,3.9722222222222223,2.5535714285714284
SOIL SCI 250,3.5,2.5789473684210527
ASTRON 236,2.8585858585858586,2.596330275229358
ENVIR ST 335,3.2282608695652173,2.6517857142857144
GEOSCI 335,3.2282608695652173,2.6517857142857144
ATM OCN 335,3.2282608695652173,2.6517857142857144
GEOG 335,3.2282608695652173,2.6517857142857144
E M A 201,2.6570935902009754,2.6539375222710535
ZOOLOGY 153,2.703042328042328,2.685282522996058
E M A 542,2.7385159010600706,2.6909722222222223
F W ECOL 318,2.7317961165048543,2.699040767386091
ATM OCN 141,4.0,2.7096774193548385
KINES 100,2.7345049130763415,2.7242093373493974
E M A 521,2.782758620689655,2.7355932203389832
E M A 202,2.7530457688508396,2.744010502133246
CHEM 343,2.7462932827049995,2.7450524127959515
CHEM 341,2.761705685618729,2.74639689578714
GENETICS 466,2.763058419243986,2.758319039451115
ENVIR ST 355,3.486842105263158,2.7604166666666665
ATM OCN 355,3.486842105263158,2.7604166666666665
ANAT PHY 235,3.0988372093023258,2.7760416666666665
GEOSCI 109,2.9285714285714284,2.7760416666666665
ATM OCN 310,2.879432624113475,2.780821917808219
ANAT PHY 335,2.817612380250553,2.7970007315288954
CHEM 345,2.8061460681001402,2.8044378157910756
N E 536,3.5384615384615383,2.816326530612245
E M A 303,2.832088158386253,2.8215481950130257
GEOSCI 110,2.8348158874637983,2.828963666391412
LAND ARC 668,3.661764705882353,2.8295454545454546
PSYCH 449,2.84885993485342,2.83042071197411
ANTHRO 303,2.9901477832512313,2.8497652582159625
ZOOLOGY 151,2.8601025352903995,2.8580953049336797
BOTANY 151,2.8601025352903995,2.8580953049336797
BIOLOGY 151,2.8601025352903995,2.8580953049336797
ASTRON 170,3.3620689655172415,2.8676470588235294
CHEM 561,2.8985365853658536,2.8705314009661835
BIOLOGY 130,2.8841255401410053,2.877581120943953
BOTANY 130,2.8841255401410053,2.877581120943953
ATM OCN 452,2.9959016393442623,2.877952755905512
NUTR SCI 132,2.886670204767591,2.885394102824809
ENVIR ST 315,2.8990406578346275,2.8858572078217373
ZOOLOGY 315,2.8990406578346275,2.8858572078217373
PHYSICS 201,2.8959386852085967,2.8913695171978544
PHYSICS 241,2.9201762977473065,2.8918525703200775
SOIL SCI 301,2.9258639910813824,2.8936052921719955
GEOG 127,2.9193262411347516,2.893673110720562
ENVIR ST 127,2.9193262411347516,2.893673110720562
COMP SCI 425,3.1434426229508197,2.9053030303030303
I SY E 425,3.1434426229508197,2.9053030303030303
MATH 425,3.1434426229508197,2.9053030303030303
GEOSCI 304,2.9953703703703702,2.905688622754491
ATM OCN 330,3.014925373134328,2.906474820143885
PHYSICS 202,2.9115655987795575,2.908792150885883
CHEM 104,2.917456880459942,2.916368114643977
AN SCI 200,2.933794203669237,2.9260143198090693
M E 306,2.935250737463127,2.9266176470588237
GEOSCI 360,2.9855072463768115,2.9323843416370106
G L E 360,2.9855072463768115,2.9323843416370106
CHEM 311,2.9615384615384617,2.9352836879432624
GEOSCI 202,2.982167352537723,2.941813261163735
ENVIR ST 120,2.9517165814463113,2.947410649161196
GEOG 120,2.9517165814463113,2.947410649161196
DY SCI 305,3.030054644808743,2.949468085106383
ATM OCN 100,2.9559946660201235,2.952415546676353
PSYCH 225,2.9602515158320233,2.9536186421689448
MICROBIO 303,2.965504667444574,2.961185551995339
NUTR SCI 332,2.9757617728531858,2.9654934437543132
PHYSICS 321,3.0372596153846154,2.965962441314554
FOOD SCI 410,3.013953488372093,2.96793893129771
CHEM 562,2.9827334630350193,2.968296224588577
HORT 501,3.090551181102362,2.9734848484848486
AGRONOMY 501,3.090551181102362,2.9734848484848486
DY SCI 414,3.074433656957929,2.9780564263322886
AN SCI 414,3.074433656957929,2.9780564263322886
BOTANY 410,2.9901368760064413,2.9781475541299116
ZOOLOGY 410,2.9901368760064413,2.9781475541299116
ANTHRO 410,2.9901368760064413,2.9781475541299116
CHEM 103,2.979553327512885,2.978714418447504
ATM OCN 637,3.6904761904761907,2.980769230769231
F W ECOL 110,3.0003176620076237,2.9813762626262625
MICROBIO 325,3.007598784194529,2.984917043740573
FOOD SCI 325,3.007598784194529,2.984917043740573
GEOSCI 106,2.998164878599661,2.989724099099099
ENVIR ST 106,2.998164878599661,2.989724099099099
GENETICS 565,3.036096256684492,2.996042216358839
MD GENET 565,3.036096256684492,2.996042216358839
F W ECOL 401,3.0584905660377357,3.001851851851852
E C E 352,3.0108404710920773,3.002802989855846
COMP SCI 352,3.0108404710920773,3.002802989855846
BIOCHEM 507,3.022527279127068,3.0119256401262713
ASTRON 103,3.0227855153203342,3.0194212576516417
MICROBIO 101,3.0300532589398936,3.0262158054711246
FOOD SCI 440,3.0940919037199124,3.0278372591006426
PHYSICS 103,3.031033752294874,3.0288950042337004
ASTRON 104,3.0449034575662326,3.031291908806437
HORT 370,3.093814432989691,3.0313131313131314
ASTRON 310,3.11731843575419,3.032608695652174
CHEM 327,3.050286722540803,3.036890645586298
GEOSCI 100,3.054503367003367,3.050224152423648
